timestamp,bid,ask,bid_size,ask_size
2025-04-01 13:29:59,557.45,557.48,100.0,400.0
2025-04-01 13:30:00,557.45,557.48,100.0,2200.0
2025-04-01 13:30:00,557.44,557.48,1100.0,2200.0
2025-04-01 13:30:00,557.44,557.48,1000.0,2200.0
2025-04-01 13:30:00,557.45,557.48,100.0,2200.0
2025-04-01 13:30:00,557.44,557.48,2800.0,2200.0
2025-04-01 13:30:00,557.44,557.48,2900.0,2200.0
2025-04-01 13:30:00,557.44,557.48,2300.0,2200.0
2025-04-01 13:30:00,557.45,557.48,100.0,2200.0
2025-04-01 13:30:00,557.45,557.48,100.0,2300.0
2025-04-01 13:30:00,557.44,557.48,1100.0,2600.0
2025-04-01 13:30:00,557.44,557.48,1100.0,2300.0
2025-04-01 13:30:00,557.44,557.48,500.0,2500.0
2025-04-01 13:30:00,557.44,557.47,500.0,100.0
2025-04-01 13:30:00,557.44,557.47,800.0,300.0
2025-04-01 13:30:00,557.44,557.47,1100.0,300.0
2025-04-01 13:30:00,557.44,557.47,1100.0,200.0
2025-04-01 13:30:00,557.44,557.47,1200.0,200.0
2025-04-01 13:30:00,557.45,557.47,800.0,200.0
2025-04-01 13:30:00,557.46,557.47,600.0,300.0
2025-04-01 13:30:00,557.46,557.47,600.0,200.0
2025-04-01 13:30:00,557.44,557.47,1200.0,200.0
2025-04-01 13:30:00,557.44,557.47,1500.0,200.0
2025-04-01 13:30:00,557.44,557.47,1800.0,200.0
2025-04-01 13:30:00,557.45,557.47,100.0,200.0
2025-04-01 13:30:00,557.45,557.47,100.0,300.0
2025-04-01 13:30:00,557.45,557.47,100.0,100.0
2025-04-01 13:30:00,557.45,557.48,200.0,2900.0
2025-04-01 13:30:00,557.45,557.48,200.0,3000.0
2025-04-01 13:30:00,557.45,557.48,200.0,2900.0
2025-04-01 13:30:00,557.45,557.48,200.0,2800.0
2025-04-01 13:30:00,557.47,557.48,600.0,2800.0
2025-04-01 13:30:00,557.45,557.48,300.0,2800.0
2025-04-01 13:30:00,557.45,557.48,300.0,2700.0
2025-04-01 13:30:00,557.45,557.48,400.0,2700.0
2025-04-01 13:30:00,557.46,557.48,200.0,2700.0
2025-04-01 13:30:00,557.47,557.48,300.0,2700.0
2025-04-01 13:30:00,557.47,557.48,600.0,2700.0
2025-04-01 13:30:00,557.47,557.48,600.0,2600.0
2025-04-01 13:30:00,557.47,557.48,600.0,2300.0
2025-04-01 13:30:00,557.47,557.48,700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,500.0,2300.0
2025-04-01 13:30:00,557.47,557.48,400.0,2300.0
2025-04-01 13:30:00,557.47,557.48,700.0,2300.0
2025-04-01 13:30:00,557.46,557.48,100.0,2300.0
2025-04-01 13:30:00,557.47,557.48,400.0,2400.0
2025-04-01 13:30:00,557.47,557.48,400.0,2300.0
2025-04-01 13:30:00,557.47,557.48,500.0,2300.0
2025-04-01 13:30:00,557.47,557.48,400.0,2300.0
2025-04-01 13:30:00,557.47,557.48,500.0,2300.0
2025-04-01 13:30:00,557.47,557.48,600.0,2300.0
2025-04-01 13:30:00,557.47,557.48,1100.0,2300.0
2025-04-01 13:30:00,557.47,557.48,600.0,2300.0
2025-04-01 13:30:00,557.46,557.48,1300.0,2300.0
2025-04-01 13:30:00,557.47,557.48,100.0,2300.0
2025-04-01 13:30:00,557.47,557.48,700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,1700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,3700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4400.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4500.0,2300.0
2025-04-01 13:30:00,557.47,557.48,3100.0,2300.0
2025-04-01 13:30:00,557.47,557.48,2700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,3800.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4100.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4500.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4800.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,5300.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4800.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4800.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4900.0,2300.0
2025-04-01 13:30:00,557.47,557.48,5000.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4800.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,4600.0,2300.0
2025-04-01 13:30:00,557.47,557.48,3100.0,2300.0
2025-04-01 13:30:00,557.47,557.48,1900.0,2300.0
2025-04-01 13:30:00,557.47,557.48,400.0,2300.0
2025-04-01 13:30:00,557.47,557.48,400.0,2400.0
2025-04-01 13:30:00,557.47,557.48,400.0,2300.0
2025-04-01 13:30:00,557.47,557.48,300.0,2400.0
2025-04-01 13:30:00,557.47,557.48,300.0,2300.0
2025-04-01 13:30:00,557.47,557.48,200.0,2300.0
2025-04-01 13:30:00,557.47,557.48,1600.0,2300.0
2025-04-01 13:30:00,557.47,557.48,600.0,2300.0
2025-04-01 13:30:00,557.47,557.48,200.0,2300.0
2025-04-01 13:30:00,557.47,557.48,200.0,2400.0
2025-04-01 13:30:00,557.47,557.48,200.0,2600.0
2025-04-01 13:30:00,557.47,557.48,300.0,2700.0
2025-04-01 13:30:00,557.47,557.48,400.0,2600.0
2025-04-01 13:30:00,557.47,557.48,300.0,2400.0
2025-04-01 13:30:00,557.47,557.48,300.0,2500.0
2025-04-01 13:30:00,557.47,557.48,400.0,2500.0
2025-04-01 13:30:00,557.47,557.48,400.0,2300.0
2025-04-01 13:30:00,557.47,557.48,700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,400.0,2300.0
2025-04-01 13:30:00,557.47,557.48,300.0,2300.0
2025-04-01 13:30:00,557.47,557.48,100.0,2300.0
2025-04-01 13:30:00,557.47,557.48,100.0,2500.0
2025-04-01 13:30:00,557.47,557.48,100.0,2300.0
2025-04-01 13:30:00,557.47,557.48,100.0,2400.0
2025-04-01 13:30:00,557.47,557.48,700.0,2400.0
2025-04-01 13:30:00,557.47,557.48,700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,700.0,2800.0
2025-04-01 13:30:00,557.47,557.48,700.0,2900.0
2025-04-01 13:30:00,557.47,557.48,700.0,2800.0
2025-04-01 13:30:00,557.47,557.48,700.0,2300.0
2025-04-01 13:30:00,557.47,557.48,100.0,2300.0
2025-04-01 13:30:00,557.47,557.48,100.0,2400.0
2025-04-01 13:30:00,557.45,557.48,1200.0,2400.0
2025-04-01 13:30:00,557.45,557.48,1700.0,2400.0
2025-04-01 13:30:00,557.45,557.48,2700.0,2400.0
2025-04-01 13:30:00,557.45,557.48,3200.0,2400.0
2025-04-01 13:30:00,557.47,557.48,600.0,2400.0
2025-04-01 13:30:00,557.47,557.48,300.0,2400.0
2025-04-01 13:30:00,557.46,557.48,100.0,2400.0
2025-04-01 13:30:00,557.46,557.48,100.0,2500.0
2025-04-01 13:30:00,557.46,557.48,100.0,2400.0
2025-04-01 13:30:00,557.46,557.48,100.0,2300.0
2025-04-01 13:30:00,557.46,557.48,100.0,2400.0
2025-04-01 13:30:00,557.46,557.48,200.0,2400.0
2025-04-01 13:30:00,557.46,557.48,200.0,2500.0
2025-04-01 13:30:00,557.46,557.48,200.0,2400.0
2025-04-01 13:30:00,557.46,557.48,200.0,2300.0
2025-04-01 13:30:00,557.46,557.48,200.0,2400.0
2025-04-01 13:30:00,557.46,557.48,200.0,2500.0
2025-04-01 13:30:00,557.46,557.48,100.0,2500.0
2025-04-01 13:30:00,557.46,557.48,100.0,2700.0
2025-04-01 13:30:00,557.46,557.48,100.0,2500.0
2025-04-01 13:30:00,557.47,557.48,300.0,2500.0
2025-04-01 13:30:00,557.47,557.48,600.0,2500.0
2025-04-01 13:30:00,557.47,557.48,300.0,2500.0
2025-04-01 13:30:00,557.46,557.48,100.0,2500.0
2025-04-01 13:30:00,557.46,557.48,500.0,2500.0
2025-04-01 13:30:00,557.46,557.48,500.0,2700.0
2025-04-01 13:30:00,557.46,557.48,100.0,2700.0
2025-04-01 13:30:00,557.46,557.48,100.0,2500.0
2025-04-01 13:30:00,557.46,557.48,100.0,2600.0
2025-04-01 13:30:00,557.46,557.48,100.0,2500.0
2025-04-01 13:30:00,557.46,557.48,500.0,2500.0
2025-04-01 13:30:00,557.46,557.48,800.0,2500.0
2025-04-01 13:30:00,557.46,557.48,700.0,2500.0
2025-04-01 13:30:00,557.46,557.48,400.0,2500.0
2025-04-01 13:30:00,557.45,557.48,900.0,2500.0
2025-04-01 13:30:00,557.47,557.48,300.0,2500.0
2025-04-01 13:30:00,557.47,557.48,600.0,2500.0
2025-04-01 13:30:00,557.45,557.48,2100.0,2500.0
2025-04-01 13:30:00,557.45,557.48,1100.0,2500.0
2025-04-01 13:30:00,557.45,557.48,1600.0,2500.0
2025-04-01 13:30:00,557.45,557.48,1200.0,2500.0
2025-04-01 13:30:00,557.45,557.48,1400.0,2500.0
2025-04-01 13:30:00,557.46,557.48,400.0,2500.0
2025-04-01 13:30:00,557.46,557.48,800.0,2500.0
2025-04-01 13:30:00,557.47,557.48,300.0,2500.0
2025-04-01 13:30:00,557.47,557.48,600.0,2500.0
2025-04-01 13:30:00,557.47,557.48,300.0,2500.0
2025-04-01 13:30:00,557.45,557.48,1500.0,2500.0
2025-04-01 13:30:00,557.45,557.48,1400.0,2500.0
2025-04-01 13:30:00,557.45,557.48,1900.0,2500.0
2025-04-01 13:30:00,557.47,557.48,300.0,2500.0
2025-04-01 13:30:00,557.45,557.48,1100.0,2500.0
2025-04-01 13:30:00,557.45,557.48,600.0,2500.0
2025-04-01 13:30:00,557.45,557.48,200.0,2500.0
2025-04-01 13:30:00,557.45,557.48,500.0,2500.0
2025-04-01 13:30:00,557.45,557.48,500.0,2700.0
2025-04-01 13:30:00,557.45,557.48,200.0,2700.0
2025-04-01 13:30:00,557.45,557.48,200.0,3200.0
2025-04-01 13:30:00,557.45,557.48,100.0,4200.0
2025-04-01 13:30:00,557.44,557.48,100.0,4700.0
2025-04-01 13:30:00,557.44,557.48,100.0,5000.0
2025-04-01 13:30:00,557.44,557.47,100.0,1700.0
2025-04-01 13:30:00,557.44,557.46,100.0,1700.0
2025-04-01 13:30:00,557.44,557.45,100.0,800.0
2025-04-01 13:30:00,557.44,557.45,100.0,1600.0
2025-04-01 13:30:00,557.44,557.45,100.0,1800.0
2025-04-01 13:30:00,557.44,557.45,100.0,1400.0
2025-04-01 13:30:00,557.44,557.46,100.0,2000.0
2025-04-01 13:30:00,557.44,557.45,100.0,1100.0
2025-04-01 13:30:00,557.44,557.45,100.0,1400.0
2025-04-01 13:30:00,557.44,557.45,100.0,1800.0
2025-04-01 13:30:00,557.44,557.45,100.0,2000.0
2025-04-01 13:30:00,557.44,557.45,100.0,1000.0
2025-04-01 13:30:00,557.44,557.45,100.0,1800.0
2025-04-01 13:30:00,557.44,557.45,100.0,3200.0
2025-04-01 13:30:00,557.44,557.45,100.0,3300.0
2025-04-01 13:30:00,557.44,557.45,100.0,3400.0
2025-04-01 13:30:00,557.44,557.45,100.0,3500.0
2025-04-01 13:30:00,557.44,557.45,100.0,3600.0
2025-04-01 13:30:00,557.44,557.45,100.0,4400.0
2025-04-01 13:30:00,557.44,557.45,100.0,600.0
2025-04-01 13:30:00,557.44,557.45,100.0,3400.0
2025-04-01 13:30:00,557.44,557.45,100.0,4400.0
2025-04-01 13:30:00,557.44,557.45,100.0,5400.0
2025-04-01 13:30:00,557.44,557.45,100.0,3800.0
2025-04-01 13:30:00,557.44,557.45,100.0,3100.0
2025-04-01 13:30:00,557.44,557.45,100.0,2800.0
2025-04-01 13:30:00,557.44,557.45,100.0,2900.0
2025-04-01 13:30:00,557.44,557.45,100.0,2800.0
2025-04-01 13:30:00,557.44,557.45,100.0,1300.0
2025-04-01 13:30:00,557.44,557.45,100.0,500.0
2025-04-01 13:30:00,557.44,557.45,100.0,900.0
2025-04-01 13:30:00,557.44,557.45,100.0,1300.0
2025-04-01 13:30:00,557.44,557.45,100.0,2700.0
2025-04-01 13:30:00,557.44,557.45,100.0,3300.0
2025-04-01 13:30:00,557.44,557.45,400.0,3300.0
2025-04-01 13:30:00,557.44,557.45,100.0,3300.0
2025-04-01 13:30:00,557.44,557.45,100.0,1500.0
2025-04-01 13:30:00,557.44,557.45,100.0,3600.0
2025-04-01 13:30:00,557.44,557.45,100.0,3700.0
2025-04-01 13:30:00,557.44,557.45,100.0,3100.0
2025-04-01 13:30:00,557.44,557.45,100.0,3500.0
2025-04-01 13:30:00,557.44,557.45,100.0,5700.0
2025-04-01 13:30:00,557.44,557.45,200.0,2600.0
2025-04-01 13:30:00,557.44,557.45,200.0,1500.0
2025-04-01 13:30:00,557.44,557.45,200.0,1400.0
2025-04-01 13:30:00,557.44,557.45,200.0,3500.0
2025-04-01 13:30:00,557.44,557.45,200.0,3800.0
2025-04-01 13:30:00,557.44,557.45,200.0,4500.0
2025-04-01 13:30:00,557.44,557.45,100.0,4500.0
2025-04-01 13:30:00,557.44,557.45,100.0,3900.0
2025-04-01 13:30:00,557.44,557.45,100.0,3500.0
2025-04-01 13:30:00,557.44,557.45,100.0,2300.0
2025-04-01 13:30:00,557.44,557.45,100.0,1100.0
2025-04-01 13:30:00,557.44,557.45,100.0,1000.0
2025-04-01 13:30:00,557.44,557.45,100.0,700.0
2025-04-01 13:30:00,557.44,557.45,100.0,500.0
2025-04-01 13:30:00,557.44,557.45,100.0,700.0
2025-04-01 13:30:00,557.44,557.45,200.0,700.0
2025-04-01 13:30:00,557.44,557.45,100.0,700.0
2025-04-01 13:30:00,557.44,557.45,100.0,800.0
2025-04-01 13:30:00,557.44,557.45,100.0,1400.0
2025-04-01 13:30:00,557.44,557.45,100.0,1700.0
2025-04-01 13:30:00,557.44,557.45,100.0,2000.0
2025-04-01 13:30:00,557.44,557.45,100.0,3000.0
2025-04-01 13:30:00,557.44,557.45,100.0,3400.0
2025-04-01 13:30:00,557.44,557.45,100.0,3800.0
2025-04-01 13:30:00,557.44,557.45,100.0,4200.0
2025-04-01 13:30:00,557.44,557.45,100.0,4600.0
2025-04-01 13:30:00,557.44,557.45,100.0,5600.0
2025-04-01 13:30:00,557.44,557.45,100.0,6300.0
2025-04-01 13:30:00,557.44,557.45,100.0,4700.0
2025-04-01 13:30:00,557.44,557.45,100.0,4000.0
2025-04-01 13:30:00,557.44,557.45,100.0,4300.0
2025-04-01 13:30:00,557.44,557.45,100.0,6600.0
2025-04-01 13:30:00,557.44,557.45,100.0,7100.0
2025-04-01 13:30:00,557.44,557.45,100.0,6600.0
2025-04-01 13:30:00,557.44,557.45,100.0,4600.0
2025-04-01 13:30:00,557.44,557.45,100.0,5600.0
2025-04-01 13:30:00,557.44,557.45,100.0,5700.0
2025-04-01 13:30:00,557.44,557.45,100.0,5400.0
2025-04-01 13:30:00,557.44,557.45,100.0,4600.0
2025-04-01 13:30:00,557.44,557.45,100.0,4200.0
2025-04-01 13:30:00,557.44,557.45,100.0,3300.0
2025-04-01 13:30:00,557.44,557.45,100.0,2800.0
2025-04-01 13:30:00,557.44,557.45,100.0,2900.0
2025-04-01 13:30:00,557.44,557.45,100.0,2300.0
2025-04-01 13:30:00,557.44,557.45,100.0,1700.0
2025-04-01 13:30:00,557.44,557.45,100.0,1500.0
2025-04-01 13:30:00,557.44,557.45,100.0,1400.0
2025-04-01 13:30:00,557.44,557.45,100.0,1200.0
2025-04-01 13:30:00,557.44,557.45,100.0,1300.0
2025-04-01 13:30:00,557.44,557.45,100.0,1200.0
2025-04-01 13:30:00,557.44,557.45,700.0,1200.0
2025-04-01 13:30:00,557.44,557.45,900.0,1200.0
2025-04-01 13:30:00,557.44,557.45,1000.0,1200.0
2025-04-01 13:30:00,557.44,557.45,1100.0,1200.0
2025-04-01 13:30:00,557.44,557.45,300.0,1200.0
2025-04-01 13:30:00,557.44,557.45,100.0,1200.0
2025-04-01 13:30:00,557.44,557.45,1300.0,1200.0
2025-04-01 13:30:00,557.44,557.45,1700.0,1100.0
2025-04-01 13:30:00,557.44,557.45,2200.0,1100.0
2025-04-01 13:30:00,557.44,557.45,2600.0,1100.0
2025-04-01 13:30:00,557.44,557.45,3600.0,1100.0
2025-04-01 13:30:00,557.44,557.45,4100.0,1100.0
2025-04-01 13:30:00,557.44,557.45,4600.0,1100.0
2025-04-01 13:30:00,557.44,557.45,4800.0,1100.0
2025-04-01 13:30:00,557.44,557.45,4600.0,1100.0
2025-04-01 13:30:00,557.44,557.45,4100.0,1100.0
2025-04-01 13:30:00,557.44,557.45,3100.0,1100.0
2025-04-01 13:30:00,557.44,557.45,2600.0,1100.0
2025-04-01 13:30:00,557.44,557.45,1800.0,1100.0
2025-04-01 13:30:00,557.44,557.45,2400.0,1100.0
2025-04-01 13:30:00,557.44,557.45,2500.0,1100.0
2025-04-01 13:30:00,557.44,557.45,2400.0,1100.0
2025-04-01 13:30:00,557.44,557.45,2500.0,1100.0
2025-04-01 13:30:00,557.44,557.45,2400.0,1100.0
2025-04-01 13:30:00,557.44,557.45,3900.0,1100.0
2025-04-01 13:30:00,557.44,557.45,5200.0,1100.0
2025-04-01 13:30:00,557.44,557.45,5700.0,1100.0
2025-04-01 13:30:00,557.44,557.45,5800.0,1100.0
2025-04-01 13:30:00,557.44,557.45,5500.0,1100.0
2025-04-01 13:30:00,557.44,557.45,3500.0,1100.0
2025-04-01 13:30:00,557.44,557.45,3100.0,1100.0
2025-04-01 13:30:00,557.44,557.45,3200.0,1100.0
2025-04-01 13:30:00,557.44,557.45,3300.0,1100.0
2025-04-01 13:30:00,557.44,557.45,3300.0,900.0
2025-04-01 13:30:00,557.44,557.45,3200.0,900.0
2025-04-01 13:30:00,557.44,557.45,4000.0,900.0
2025-04-01 13:30:00,557.44,557.45,3600.0,900.0
2025-04-01 13:30:00,557.44,557.45,4000.0,900.0
2025-04-01 13:30:00,557.44,557.45,3200.0,900.0
2025-04-01 13:30:00,557.44,557.45,3100.0,900.0
2025-04-01 13:30:00,557.44,557.45,3000.0,900.0
2025-04-01 13:30:00,557.44,557.45,3100.0,900.0
2025-04-01 13:30:00,557.44,557.45,2600.0,900.0
2025-04-01 13:30:00,557.44,557.45,2100.0,900.0
2025-04-01 13:30:00,557.44,557.45,1600.0,900.0
2025-04-01 13:30:00,557.44,557.45,1100.0,900.0
2025-04-01 13:30:00,557.44,557.45,1600.0,900.0
2025-04-01 13:30:00,557.44,557.45,2500.0,900.0
2025-04-01 13:30:00,557.44,557.45,2400.0,900.0
2025-04-01 13:30:00,557.44,557.45,2900.0,900.0
2025-04-01 13:30:00,557.44,557.45,3200.0,900.0
2025-04-01 13:30:00,557.44,557.45,4800.0,900.0
2025-04-01 13:30:00,557.44,557.45,4900.0,900.0
2025-04-01 13:30:00,557.44,557.45,5000.0,900.0
2025-04-01 13:30:00,557.44,557.45,5100.0,900.0
2025-04-01 13:30:00,557.44,557.45,5200.0,900.0
2025-04-01 13:30:00,557.44,557.45,4700.0,900.0
2025-04-01 13:30:00,557.44,557.45,1600.0,900.0
2025-04-01 13:30:00,557.44,557.45,2100.0,900.0
2025-04-01 13:30:00,557.44,557.45,2600.0,900.0
2025-04-01 13:30:00,557.44,557.45,2500.0,900.0
2025-04-01 13:30:00,557.44,557.45,1500.0,900.0
2025-04-01 13:30:00,557.44,557.45,2100.0,900.0
2025-04-01 13:30:00,557.44,557.45,2200.0,900.0
2025-04-01 13:30:00,557.44,557.45,2100.0,900.0
2025-04-01 13:30:00,557.44,557.45,2000.0,900.0
2025-04-01 13:30:00,557.44,557.45,4700.0,900.0
